date,datetime,cash_type,card,money,coffee_name
01/03/2024,01/03/2024 10:15,card,ANON-0000-0000-0001,38.7,Latte
01/03/2024,01/03/2024 12:19,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01/03/2024,01/03/2024 12:20,card,ANON-0000-0000-0002,38.7,Hot Chocolate
01/03/2024,01/03/2024 13:46,card,ANON-0000-0000-0003,28.9,Americano
01/03/2024,01/03/2024 13:48,card,ANON-0000-0000-0004,38.7,Latte
01/03/2024,01/03/2024 15:39,card,ANON-0000-0000-0005,33.8,Americano with Milk
01/03/2024,01/03/2024 16:19,card,ANON-0000-0000-0006,38.7,Hot Chocolate
01/03/2024,01/03/2024 18:39,card,ANON-0000-0000-0007,33.8,Americano with Milk
01/03/2024,01/03/2024 19:22,card,ANON-0000-0000-0008,38.7,Cocoa
01/03/2024,01/03/2024 19:23,card,ANON-0000-0000-0008,33.8,Americano with Milk
01/03/2024,01/03/2024 19:29,card,ANON-0000-0000-0009,33.8,Americano with Milk
02/03/2024,02/03/2024 10:22,card,ANON-0000-0000-0010,28.9,Americano
02/03/2024,02/03/2024 10:30,cash,cash,40,Latte
02/03/2024,02/03/2024 10:41,card,ANON-0000-0000-0011,33.8,Americano with Milk
02/03/2024,02/03/2024 11:59,card,ANON-0000-0000-0012,33.8,Americano with Milk
02/03/2024,02/03/2024 14:38,card,ANON-0000-0000-0013,28.9,Americano
02/03/2024,02/03/2024 16:37,card,ANON-0000-0000-0014,33.8,Americano with Milk
02/03/2024,02/03/2024 17:34,card,ANON-0000-0000-0004,28.9,Americano
03/03/2024,03/03/2024 10:10,cash,cash,40,Latte
03/03/2024,03/03/2024 10:27,card,ANON-0000-0000-0015,38.7,Latte
03/03/2024,03/03/2024 11:33,card,ANON-0000-0000-0016,28.9,Cortado
03/03/2024,03/03/2024 12:26,card,ANON-0000-0000-0012,28.9,Americano
03/03/2024,03/03/2024 13:09,card,ANON-0000-0000-0017,38.7,Hot Chocolate
03/03/2024,03/03/2024 17:06,card,ANON-0000-0000-0018,38.7,Cocoa
03/03/2024,03/03/2024 17:08,card,ANON-0000-0000-0019,28.9,Cortado
03/03/2024,03/03/2024 18:03,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/03/2024,03/03/2024 18:04,card,ANON-0000-0000-0020,33.8,Americano with Milk
03/03/2024,03/03/2024 18:08,card,ANON-0000-0000-0020,38.7,Hot Chocolate
04/03/2024,04/03/2024 10:03,card,ANON-0000-0000-0001,38.7,Latte
04/03/2024,04/03/2024 10:54,card,ANON-0000-0000-0021,38.7,Latte
04/03/2024,04/03/2024 11:05,card,ANON-0000-0000-0012,33.8,Americano with Milk
04/03/2024,04/03/2024 14:04,card,ANON-0000-0000-0022,24,Espresso
05/03/2024,05/03/2024 9:59,card,ANON-0000-0000-0001,38.7,Latte
05/03/2024,05/03/2024 14:34,card,ANON-0000-0000-0023,38.7,Latte
05/03/2024,05/03/2024 17:34,card,ANON-0000-0000-0024,38.7,Latte
05/03/2024,05/03/2024 17:35,card,ANON-0000-0000-0025,38.7,Hot Chocolate
05/03/2024,05/03/2024 17:36,card,ANON-0000-0000-0026,38.7,Cocoa
05/03/2024,05/03/2024 17:37,card,ANON-0000-0000-0027,38.7,Hot Chocolate
05/03/2024,05/03/2024 17:38,card,ANON-0000-0000-0009,38.7,Hot Chocolate
05/03/2024,05/03/2024 17:56,card,ANON-0000-0000-0028,28.9,Cortado
05/03/2024,05/03/2024 18:01,card,ANON-0000-0000-0028,38.7,Hot Chocolate
06/03/2024,06/03/2024 12:30,cash,cash,35,Americano with Milk
06/03/2024,06/03/2024 13:24,card,ANON-0000-0000-0012,28.9,Americano
06/03/2024,06/03/2024 13:25,card,ANON-0000-0000-0012,28.9,Cortado
06/03/2024,06/03/2024 14:52,card,ANON-0000-0000-0029,38.7,Cappuccino
06/03/2024,06/03/2024 14:53,card,ANON-0000-0000-0029,38.7,Cappuccino
07/03/2024,07/03/2024 10:08,cash,cash,40,Latte
07/03/2024,07/03/2024 10:18,card,ANON-0000-0000-0030,38.7,Hot Chocolate
07/03/2024,07/03/2024 11:03,card,ANON-0000-0000-0031,38.7,Latte
07/03/2024,07/03/2024 11:25,cash,cash,40,Latte
07/03/2024,07/03/2024 15:40,card,ANON-0000-0000-0032,28.9,Americano
07/03/2024,07/03/2024 15:41,card,ANON-0000-0000-0033,33.8,Americano with Milk
08/03/2024,08/03/2024 10:34,card,ANON-0000-0000-0012,28.9,Cortado
08/03/2024,08/03/2024 12:22,card,ANON-0000-0000-0034,38.7,Cappuccino
08/03/2024,08/03/2024 13:53,card,ANON-0000-0000-0035,28.9,Americano
08/03/2024,08/03/2024 14:44,card,ANON-0000-0000-0012,28.9,Americano
08/03/2024,08/03/2024 14:45,card,ANON-0000-0000-0033,28.9,Americano
08/03/2024,08/03/2024 14:46,card,ANON-0000-0000-0012,33.8,Americano with Milk
08/03/2024,08/03/2024 18:57,card,ANON-0000-0000-0036,38.7,Latte
08/03/2024,08/03/2024 18:59,card,ANON-0000-0000-0037,38.7,Latte
09/03/2024,09/03/2024 11:49,cash,cash,40,Hot Chocolate
09/03/2024,09/03/2024 12:05,card,ANON-0000-0000-0038,24,Espresso
09/03/2024,09/03/2024 12:07,card,ANON-0000-0000-0039,28.9,Americano
09/03/2024,09/03/2024 12:09,card,ANON-0000-0000-0012,38.7,Cappuccino
09/03/2024,09/03/2024 12:13,card,ANON-0000-0000-0040,28.9,Americano
09/03/2024,09/03/2024 12:14,card,ANON-0000-0000-0040,28.9,Americano
09/03/2024,09/03/2024 13:09,card,ANON-0000-0000-0041,38.7,Latte
09/03/2024,09/03/2024 13:41,card,ANON-0000-0000-0042,33.8,Americano with Milk
09/03/2024,09/03/2024 13:53,card,ANON-0000-0000-0043,28.9,Cortado
09/03/2024,09/03/2024 13:54,card,ANON-0000-0000-0043,38.7,Cappuccino
09/03/2024,09/03/2024 14:08,card,ANON-0000-0000-0009,33.8,Americano with Milk
09/03/2024,09/03/2024 14:26,card,ANON-0000-0000-0044,38.7,Hot Chocolate
09/03/2024,09/03/2024 19:17,card,ANON-0000-0000-0009,38.7,Cappuccino
09/03/2024,09/03/2024 19:19,card,ANON-0000-0000-0009,38.7,Hot Chocolate
10/03/2024,10/03/2024 7:44,cash,cash,30,Americano
10/03/2024,10/03/2024 7:45,cash,cash,35,Americano with Milk
10/03/2024,10/03/2024 10:06,cash,cash,40,Latte
10/03/2024,10/03/2024 11:19,card,ANON-0000-0000-0045,24,Espresso
10/03/2024,10/03/2024 17:51,cash,cash,35,Americano with Milk
10/03/2024,10/03/2024 19:34,card,ANON-0000-0000-0046,38.7,Latte
10/03/2024,10/03/2024 19:35,card,ANON-0000-0000-0046,28.9,Cortado
11/03/2024,11/03/2024 10:18,cash,cash,40,Latte
11/03/2024,11/03/2024 11:24,cash,cash,40,Cappuccino
11/03/2024,11/03/2024 11:24,cash,cash,30,Cortado
11/03/2024,11/03/2024 11:26,cash,cash,30,Americano
11/03/2024,11/03/2024 11:32,card,ANON-0000-0000-0035,38.7,Cappuccino
11/03/2024,11/03/2024 16:24,card,ANON-0000-0000-0047,28.9,Americano
11/03/2024,11/03/2024 16:25,card,ANON-0000-0000-0047,38.7,Latte
11/03/2024,11/03/2024 16:50,card,ANON-0000-0000-0048,28.9,Cortado
12/03/2024,12/03/2024 10:15,cash,cash,40,Latte
12/03/2024,12/03/2024 10:15,card,ANON-0000-0000-0033,28.9,Americano
12/03/2024,12/03/2024 10:16,card,ANON-0000-0000-0033,28.9,Cortado
12/03/2024,12/03/2024 11:20,card,ANON-0000-0000-0049,38.7,Hot Chocolate
12/03/2024,12/03/2024 12:46,card,ANON-0000-0000-0004,33.8,Americano with Milk
12/03/2024,12/03/2024 12:47,card,ANON-0000-0000-0004,28.9,Americano
12/03/2024,12/03/2024 16:15,card,ANON-0000-0000-0050,28.9,Americano
13/03/2024,13/03/2024 11:06,card,ANON-0000-0000-0048,38.7,Hot Chocolate
13/03/2024,13/03/2024 11:48,card,ANON-0000-0000-0004,28.9,Americano
13/03/2024,13/03/2024 12:18,card,ANON-0000-0000-0051,28.9,Americano
13/03/2024,13/03/2024 12:19,card,ANON-0000-0000-0051,28.9,Americano
13/03/2024,13/03/2024 12:34,cash,cash,25,Espresso
